ID,Smiles,Standard Value
52,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1.Cl,6309.6
53,N#CC(C(=O)NCc1ccccc1)c1nc2ccccc2nc1N1CCCC1,7943.3
54,COCCn1c(=O)c(-c2cccs2)nc2cnc(Nc3ccccc3)nc21,7943.3
55,COCCn1c(=O)c(-c2ccc(OC)cc2)nc2cnc(Nc3cccc(OC)c3)nc21,7943.3
56,N#Cc1c(C(F)(F)F)cc(-c2ccccc2)nc1SCc1nc(N)nc(N2CCOCC2)n1,7943.3
57,CCN(CC)CCC[C@H](C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12.Cl.Cl.O.O,7943.3
58,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@](C)(O)[C@H]3C[C@@H]12.CS(=O)(=O)O,7943.3
59,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,7943.3
60,COc1cc2ccccc2c2cc([N+](=O)[O-])oc12,10000
61,Cn1nc(-c2ccccc2)c2nc3ccccc3nc21,10000
62,O=C(OCCN1C(=O)c2ccccc2C1=O)c1cccs1,10000
63,Cn1c(NC(=O)c2ccccc2Br)cc(=O)n(C)c1=O,10000
64,COc1ccc(-c2nc3cnc(N(C)C)nc3n(CCC#N)c2=O)cc1,10000
65,COc1cccc(Cn2c(=O)cnc3cnc(Nc4ccccc4)nc32)c1,10000
66,CC1CCCCN1Cc1nc2c(c(=O)n(C)c(=O)n2C)n1Cc1c(F)cccc1Cl,10000
67,COc1ccc(-c2cc(C(F)(F)F)nc(SCC(=O)N3CCOCC3)n2)cc1OC,10000
68,CCOC(=O)C1=C(C)N=c2s/c(=C\c3cccn3C)c(=O)n2C1c1cccc(OC)c1OC,10000
69,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@](O)(C(C)=O)C[C@H]3O[C@@H]1C[C@H](N)[C@H](O)[C@H](C)O1,10000
70,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@](O)(C(=O)CO)C[C@H]3O[C@@H]1C[C@H](N)[C@H](O)[C@H](C)O1,10000
71,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.Cl,10000
72,Nc1ccc2c3c(cccc13)C(=O)NC2=O,12589.3
73,CC1=NCCc2c1[nH]c1cc(O)ccc21.Cl.O.O,12589.3
74,CCOC(=O)c1ccc(NC(O)=C2C(=O)NC(=O)NC2=O)cc1,12589.3
75,COc1ccccc1-c1nc(C(N)=O)c2nc(O)n(-c3cccc(C)c3)c2n1,12589.3
76,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,12589.3
77,O=C(O)C1=CC(=C(c2ccc(O)c(C(=O)O)c2)c2ccc(O)c(C(=O)O)c2)C=CC1=O,12589.3
78,CC(=O)[C@@]1(O)Cc2c(O)c3c(c(O)c2[C@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,12589.3
79,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,12589.3
80,N[C@@H](Cc1cc(O)c(O)cc1O)C(=O)O,15848.9
81,O=C1CCN2C=Nc3cccc4ccc1c2c34,15848.9
82,CCOC(=O)c1cc2n(c1N)-c1ccccc1C2=O,15848.9
83,O=C(CN1c2cccc3cccc(c23)S1(=O)=O)N1CCOCC1,15848.9
84,CC(=O)c1sc2nc(-c3cccs3)cc(C(F)(F)F)c2c1N,15848.9
85,CCNc1ncc2nc(-c3cccs3)c(=O)n(-c3ccccc3)c2n1,15848.9
