ID,Smiles,Standard Value
247,CCOC(=O)Cn1c(CN2CCN(c3cccc(Cl)c3)CC2)nc2c1c(=O)[nH]c(=O)n2C,39810.7
248,O=C(O)CCCNc1cc(N2CCC3(CC2)OCCO3)c2noc3c2c1C(=O)c1ccccc1-3,39810.7
249,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1.O=S(=O)(O)CCO,39810.7
250,Oc1nc2cc3c(cc2cc1C(c1nnnn1C1CCCCC1)N1CCSCC1)OCCO3,39810.7
251,CCC1CCCCN1S(=O)(=O)c1ccc(S(=O)(=O)N(Cc2cccs2)C2CC2)cc1,39810.7
252,Cc1ccccc1Cn1c(CN2CCN(c3ccc(F)cc3)CC2)nc2c1c(=O)n(C)c(=O)n2C,39810.7
253,CN1C[C@@H](C(=O)N[C@@]2(C)O[C@]3(O)[C@H]4CCCN4C(=O)[C@@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@@H]21,39810.7
254,Cc1cc(-c2ccc(/N=N\c3ccc4c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c4c3O)c(C)c2)ccc1/N=N\c1ccc2c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c2c1O,39810.7
255,Cc1cc(C)c(/C=C2/C(=O)Nc3ccccc32)[nH]1,50118.7
256,Cn1c(=O)cc(N2CCc3ccccc32)[nH]c1=O,50118.7
257,N#CC(C#N)=C/C(N)=C(/C#N)c1cc(O)c(O)c(O)c1,50118.7
258,CCCSc1nnc2nc3c(nn12)c1ccccc1n3C,50118.7
259,CCN1C(=O)/C(=C2/SC(C)=C(C)N2CC)SC1=S,50118.7
260,COC(=O)Cn1cnc2c(nnn2-c2cccc(Cl)c2)c1=O,50118.7
261,Cc1nnc2sc(-c3ccc(NC(=O)c4cccnc4)cc3)nn12,50118.7
262,C1=C(c2ccc(-c3ccccc3)cc2)Nc2ncnn2C1c1ccco1,50118.7
263,CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,50118.7
264,Cc1cccc(N2CSC3=C(C#N)C(c4ccc(C)o4)CC(=O)N3C2)c1,50118.7
265,Cc1occc1-c1nnc(SCC(=O)c2cc3ccccc3oc2=O)o1,50118.7
266,COc1ccc(-c2nc3cnc(N(C)C)nc3n(-c3ccccc3)c2=O)cc1,50118.7
267,CCOc1cc(C2C(C#N)=C(N)OC(C)=C2C(C)=O)cc(Br)c1O,50118.7
268,COc1ccc(Oc2ncc3nc(-c4cccs4)c(=O)n(CCC#N)c3n2)cc1,50118.7
269,CC1CCN(c2nc3ccccc3nc2C(C#N)S(=O)(=O)c2ccccc2)CC1,50118.7
270,COc1ccc(C2C=C(c3ccc(Br)s3)Nc3ncnn32)cc1OC,50118.7
271,CCC(c1nnc(SCc2nc3ccccc3s2)n1Cc1ccccc1)N(C)C,50118.7
272,COc1cccc(Nc2ncc3nc(-c4cccs4)c(=O)n(C[C@H]4CCCO4)c3n2)c1,50118.7
273,Cc1cccc(S(=O)(=O)C(C#N)c2nc3ccccc3nc2N2CC(C)OC(C)C2)c1,50118.7
274,CC(C)(Sc1ccc(CCN(CCCCC2CCCCC2)C(=O)NC2CCCCC2)cc1)C(=O)O,50118.7
275,Cc1nc(/N=N\c2cc(S(=O)(=O)O)c3cc([N+](=O)[O-])cc(S(=O)(=O)O)c3c2)c(COP(=O)(O)O)c(C=O)c1O,50118.7
276,Nc1c(S(=O)(=O)[O-])cc(Nc2ccc(Nc3nc(Cl)nc(Nc4ccc(S(=O)(=O)[O-])cc4)n3)c(S(=O)(=O)[O-])c2)c2c1C(=O)c1ccccc1C2=O.[Na+].[Na+].[Na+],50118.7
277,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(=O)c2c(O)c(O)cc(C3Oc4cc(O)cc(O)c4CC3OC(=O)c3cc(O)c(O)c(O)c3)c2c1)c1cc(O)c(O)c(O)c1,50118.7
