ID,Smiles
50,CC1(C=CC2=C(O1)C=C3C(=C2OC)C(=C(C(=O)O3)C4=CC=C(C=C4)OC)O)C
51,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C
52,C1=CC(=C(C=C1C(=C2C=CC(=O)C(=C2)C(=O)O)C3=CC(=C(C=C3)O)C(=O)O)C(=O)O)O
53,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-]
54,CN(C1=CC(=C(C=C1)O)O)N=O
55,CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)OC)CC=C(C)C)O)C
56,COC1=C(C=CC(=C1)/C=C/C(=C/C(=O)/C=C/C2=CC(=C(C=C2)O)OC)/O)O
57,C1=CC=C2C(=C1)C(=C(N2)C3=C(NC4=C3C=CC(=C4)Br)O)N=O
58,C1=CC(=C(C2=C1C(=O)C3=C(C=CC(=C3C2=O)O)O)O)O
59,CCCCCCCCCCCC(CC1C(C(=O)O1)CCCCCC)OC(=O)C(CC(C)C)NC=O
60,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3NC4=CC(=C(C=C4)NC5=NC(=NC(=N5)NC6=CC=C(C=C6)S(=O)(=O)[O-])Cl)S(=O)(=O)[O-])S(=O)(=O)[O-])N.[Na+].[Na+].[Na+]
61,CCNCCNC(=O)C1=C(C2=CC=CC=C2N(C1=O)CC=C)O.Cl
62,C1=COC(=C1)CNC(=O)CSC2=NC3=C(C(=CC(=N3)C4=CC=CS4)C(F)(F)F)C(=O)N2
63,C(C(=O)N)I
64,CC(=O)O.CC(=O)O.[Cd]
65,CCS(=O)(=O)C1=NC(=C(S1)NCC(C)C)S(=O)(=O)C2=CC=C(C=C2)C
66,CC1=CC2=C(C=C1)SC=C(C2=O)N3CCN(CC3)C
67,CC(C)CN(CC(C)C)CC(CN1C=C(C2=CC=CC=C21)/C=C/C(=O)C3=CC(=C(C=C3)OC)OC)O
68,CCOC1=CC2=C(C(=CN=C2C=C1)C(=O)C3=CC=C(C=C3)C)N4CCCC(C4)C(=O)OCC
69,CCCCCC(=O)N1C2=CC=CC=C2C(CC1(C)C)(C)C3=CC=CC=C3
70,CC1=CC=C(C=C1)S(=O)(=O)CC2=C(OC(=N2)C3=CC=C(C=C3)C(=O)NCC4=CC=CC=C4F)C
71,CC1=CC=C(C=C1)[C@@H]2[C@@H]3CC=C[C@@H]3C4=C(N2)C=CC(=C4)S(=O)(=O)NC5=C(C(=CC=C5)Cl)C
72,CC1=CC=C(C=C1)N2C(=C3C(=NN(C(=O)C3=N2)CCCC(=O)NCCC4=CC=CC=C4Cl)C)C
73,CC1=CC=C(C=C1)[C@@H]2[C@@H]3CC=C[C@@H]3C4=C(N2)C=CC(=C4)S(=O)(=O)NC5=C(C(=CC=C5)Cl)C
74,CC1=CC=C(C=C1)N2C(=C3C(=NN(C(=O)C3=N2)CCCC(=O)NCCC4=CC=CC=C4Cl)C)C
75,CC1=CC2=C(C=C1)SC=C(C2=O)N3CCN(CC3)C
76,CC(C)CN(CC(C)C)CC(CN1C=C(C2=CC=CC=C21)/C=C/C(=O)C3=CC(=C(C=C3)OC)OC)O
77,CCOC1=CC2=C(C(=CN=C2C=C1)C(=O)C3=CC=C(C=C3)C)N4CCCC(C4)C(=O)OCC
78,CCCCCC(=O)N1C2=CC=CC=C2C(CC1(C)C)(C)C3=CC=CC=C3
79,CC1=C(C=C(C=C1)C(=O)NC2=C3C(=CC(=CC3=C(C=C2)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])NC(=O)C4=CC(=CC=C4)NC(=O)NC5=CC=CC(=C5)C(=O)NC6=C(C=CC(=C6)C(=O)NC7=C8C(=CC(=CC8=C(C=C7)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])C
80,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3NC4=CC(=C(C=C4)NC5=NC(=NC(=N5)NC6=CC=C(C=C6)S(=O)(=O)[O-])Cl)S(=O)(=O)[O-])S(=O)(=O)[O-])N
81,C1=CC(=C(C=C1/C=C(\C#N)/C(=O)C2=CC(=C(C=C2)O)O)O)O
82,CN(C1=CC(=C(C=C1)O)O)N=O
