Smiles,Standard Value,logIC50
COc1cc(C(=O)c2c(Br)c(Br)c(OC)c(OC)c2Br)c(Br)c(Br)c1OC,2.66,8.575118363
COc1cc(C(=O)Nc2nnc(-c3ccc(Oc4ccc([N+](=O)[O-])cc4[N+](=O)[O-])cc3)s2)cc(OC)c1OC,2.9,8.537602002
Cc1cc(C)c(Oc2cc(Br)cc(Br)c2Br)c(Br)c1,2.97,8.527243551
O=P(O)(O)c1cccc(-c2ccc(CC(Cc3ccc(C(F)(F)P(=O)(O)O)cc3)(c3ccccc3)n3nnc4ccccc43)cc2)c1,3,8.522878745
O=P(O)(O)c1cccc(-c2ccc(CC(Cc3ccc(C(F)(F)P(=O)(O)O)cc3)(c3ccccc3)n3nnc4ccccc43)cc2)c1,3,8.522878745
C/C=C1\C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,3,8.522878745
O=c1oc2cc(-c3c(-c4ccc(O)c(O)c4)oc4cc(/C=C/c5ccc(O)c(O)c5)oc(=O)c34)oc(=O)c2c2cc(O)c(O)cc12,3.1,8.508638306
CCOC(=O)/C(O)=C/C(=O)c1cccc(Cn2cc(C(=O)O)c(=O)c3cc(I)ccc32)c1,3.1,8.508638306
O=C(Cc1cccc2ccccc12)Nc1nnc(-c2ccc(Oc3ccc([N+](=O)[O-])cc3[N+](=O)[O-])cc2)s1,3.2,8.494850022
O=C(Nc1nnc(-c2ccc(Oc3ccc([N+](=O)[O-])cc3[N+](=O)[O-])cc2)s1)c1cccc(Cl)c1,3.34,8.476253533
C=C1[C@@H]([C@@H](O)C[C@H](C)[C@H]2O[C@@]3(CCCCO3)CC[C@H]2C)O[C@@H]2CC[C@@]3(CC[C@H](/C=C/[C@@H](C)[C@@H]4CC(C)=C[C@@]5(O[C@H](C[C@@](C)(O)C(=O)O)CC[C@H]5O)O4)O3)O[C@H]2[C@@H]1O,3.4,8.468521083
Cc1ccccc1C(=O)Nc1nnc(-c2ccc(Oc3ccc([N+](=O)[O-])cc3)cc2)s1,3.48,8.458420756
O=C(Cc1cccc2ccccc12)Nc1nnc(-c2ccc(Oc3ccc([N+](=O)[O-])cc3)cc2)s1,3.63,8.440093375
COc1ccc(C(=O)Nc2nnc(-c3ccc(Oc4ccc([N+](=O)[O-])cc4[N+](=O)[O-])cc3)s2)cc1,3.75,8.425968732
C=C(C)C(O)Cc1c(OC)ccc(C(=O)/C=C/c2ccc(O)cc2)c1O,3.97,8.401209493
Cc1ccccc1C(=O)Nc1nnc(-c2ccc(Oc3ccc([N+](=O)[O-])cc3[N+](=O)[O-])cc2)s1,4.03,8.394694954
COc1ccc(C(=O)Nc2nnc(-c3ccc(Oc4ccc([N+](=O)[O-])cc4)cc3)s2)cc1,4.07,8.390405591
O=C(Nc1nnc(-c2ccc(Oc3ccc([N+](=O)[O-])cc3[N+](=O)[O-])cc2)s1)c1ccccc1[N+](=O)[O-],4.13,8.384049948
O=C(Nc1nnc(-c2ccc(Oc3ccc([N+](=O)[O-])cc3)cc2)s1)c1ccccc1,4.14,8.382999659
O=C(Nc1nnc(-c2ccc(Oc3ccc([N+](=O)[O-])cc3)cc2)s1)c1cccnc1,4.2,8.37675071
O=C(Nc1nnc(-c2ccc(Oc3ccc([N+](=O)[O-])cc3)cc2)s1)c1ccccc1[N+](=O)[O-],4.25,8.37161107
CCOC1c2c(OC)ccc(C(=O)/C=C/c3ccc(O)cc3)c2OC1C(C)(C)O,4.42,8.354577731
CCCCCCCCCCCCCCCC(=O)C1=C(O)[C@@H](CO)OC1=O,4.5,8.346787486
O=C(Nc1nnc(-c2ccc(Oc3ccc([N+](=O)[O-])cc3)cc2)s1)c1ccco1,4.63,8.334419009
O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)c(Br)c2)(c2ccccc2)n2nnc3ccccc32)cc1,5,8.301029996
O=C(c1ccccc1)C(Cc1ccc2cc(Br)c(C(F)(F)P(=O)(O)O)cc2c1)(Cc1ccc2cc(Br)c(C(F)(F)P(=O)(O)O)cc2c1)n1nnc2ccccc21,5,8.301029996
COC(CC(C)C)c1ccc2ccc(-c3ccc(CC(Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)c(P(=O)(O)O)c2n1,5,8.301029996
COC(CC(C)C)c1ccc2ccc(-c3ccc(C(Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)c(P(=O)(O)O)c2n1,5,8.301029996
COC(CC(C)C)c1ccc2ccc(-c3ccc(C(Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)c(P(=O)(O)O)c2n1,5,8.301029996
COC(CC(C)C)c1ccc2cc(-c3ccc(CC(Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)cc(P(=O)(O)O)c2n1,5,8.301029996
COC(CC(C)C)c1ccc2cc(-c3ccc(CC(Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)cc(P(=O)(O)O)c2n1,5,8.301029996
Cc1ccc(C(=O)Nc2nnc(-c3ccc(Oc4ccc([N+](=O)[O-])cc4[N+](=O)[O-])cc3)s2)cc1,5.14,8.289036881
COc1cccc(C(=O)Nc2nnc(-c3ccc(Oc4ccc([N+](=O)[O-])cc4[N+](=O)[O-])cc3)s2)c1,5.33,8.273272791
O=C(Cc1ccccc1)Nc1nnc(-c2ccc(Oc3ccc([N+](=O)[O-])cc3)cc2)s1,5.44,8.2644011
